java -cp ./bin:./lib/postgresql-42.1.4.jar cli/differentiate_genre Horror Romance pdiff1

<gothic, 0.4945559799313546>
<biographical, -1.746060280887683E-4>
<biopic, -1.746060280887683E-4>
<bizarre, -1.746060280887683E-4>
<book was better, -1.746060280887683E-4>
<books, -1.746060280887683E-4>
<brilliant, -1.746060280887683E-4>
<campy, -1.746060280887683E-4>
<cartoon, -1.746060280887683E-4>
<christmas, -1.746060280887683E-4>
<cinematography, -1.746060280887683E-4>
<civil war, -1.746060280887683E-4>
<coen bros, -1.746060280887683E-4>
<college, -1.746060280887683E-4>
<colourful, -1.746060280887683E-4>
<coming of age, -1.746060280887683E-4>
<computer animation, -1.746060280887683E-4>
<computer game, -1.746060280887683E-4>
<cute!, -1.746060280887683E-4>
<dance, -1.746060280887683E-4>
<death, -1.746060280887683E-4>
<death penalty, -1.746060280887683E-4>
<depressing, -1.746060280887683E-4>
<disney, -1.746060280887683E-4>
<dramatic, -1.746060280887683E-4>
<dreamlike, -1.746060280887683E-4>
<dreamworks, -1.746060280887683E-4>
<enigmatic, -1.746060280887683E-4>
<exceptional acting, -1.746060280887683E-4>
<fairy tale, -1.746060280887683E-4>
<family, -1.746060280887683E-4>
<family bonds, -1.746060280887683E-4>
<fantasy world, -1.746060280887683E-4>
<father-son relationship, -1.746060280887683E-4>
<football, -1.746060280887683E-4>
<fun movie, -1.746060280887683E-4>
<funny as hell, -1.746060280887683E-4>
<gambling, -1.746060280887683E-4>
<good, -1.746060280887683E-4>
<great, -1.746060280887683E-4>
<great soundtrack, -1.746060280887683E-4>
<heist, -1.746060280887683E-4>
<historical, -1.746060280887683E-4>
<horrible, -1.746060280887683E-4>
<imagination, -1.746060280887683E-4>
<immigrants, -1.746060280887683E-4>
<indians, -1.746060280887683E-4>
<italy, -1.746060280887683E-4>
<jane austen, -1.746060280887683E-4>
<japan, -1.746060280887683E-4>
<kids, -1.746060280887683E-4>
<life, -1.746060280887683E-4>
<life & death, -1.746060280887683E-4>
<love story, -1.746060280887683E-4>
<love triangles, -1.746060280887683E-4>
<lyrical, -1.746060280887683E-4>
<marriage, -1.746060280887683E-4>
<memory, -1.746060280887683E-4>
<memory loss, -1.746060280887683E-4>
<mental illness, -1.746060280887683E-4>
<movie business, -1.746060280887683E-4>
<music, -1.746060280887683E-4>
<musicians, -1.746060280887683E-4>
<narrated, -1.746060280887683E-4>
<new york, -1.746060280887683E-4>
<new york city, -1.746060280887683E-4>
<nonlinear, -1.746060280887683E-4>
<notable nudity, -1.746060280887683E-4>
<notable soundtrack, -1.746060280887683E-4>
<nudity (full frontal - brief), -1.746060280887683E-4>
<obsession, -1.746060280887683E-4>
<oscar (best animated feature), -1.746060280887683E-4>
<oscar (best music - original score), -1.746060280887683E-4>
<oscar (best supporting actress), -1.746060280887683E-4>
<oscar (best writing - screenplay written directly for the screen), -1.746060280887683E-4>
<oscar winner, -1.746060280887683E-4>
<passionate, -1.746060280887683E-4>
<period piece, -1.746060280887683E-4>
<pg-13, -1.746060280887683E-4>
<philosophy, -1.746060280887683E-4>
<psychological, -1.746060280887683E-4>
<queer, -1.746060280887683E-4>
<race, -1.746060280887683E-4>
<racism, -1.746060280887683E-4>
<realistic, -1.746060280887683E-4>
<reality tv, -1.746060280887683E-4>
<reflective, -1.746060280887683E-4>
<religion, -1.746060280887683E-4>
<romantic comedy, -1.746060280887683E-4>
<sad but good, -1.746060280887683E-4>
<satire, -1.746060280887683E-4>
<scenic, -1.746060280887683E-4>
<school, -1.746060280887683E-4>
<sentimental, -1.746060280887683E-4>
<shallow, -1.746060280887683E-4>
<soccer, -1.746060280887683E-4>
<sophia coppola, -1.746060280887683E-4>
<special, -1.746060280887683E-4>
<strange, -1.746060280887683E-4>
<teens, -1.746060280887683E-4>
<terminal illness, -1.746060280887683E-4>
<time travel, -1.746060280887683E-4>
<tokyo, -1.746060280887683E-4>
<tragedy, -1.746060280887683E-4>
<trains, -1.746060280887683E-4>
<true story, -1.746060280887683E-4>
<unique, -1.746060280887683E-4>
<very funny, -1.746060280887683E-4>
<very interesting, -1.746060280887683E-4>
<visually appealing, -1.746060280887683E-4>
<wine, -1.746060280887683E-4>
<wistful, -1.746060280887683E-4>
<directorial debut, -2.600046787627716E-4>
<gay, -2.600046787627716E-4>
<adapted from:book, -0.007192810334060994>
<adolescence, -0.007192810334060994>
<amnesia, -0.007192810334060994>
<biography, -0.007192810334060994>
<bittersweet, -0.007192810334060994>
<black comedy, -0.007192810334060994>
<bollywood, -0.007192810334060994>
<canada, -0.007192810334060994>
<cute, -0.007192810334060994>
<fairy tales, -0.007192810334060994>
<funniest movies, -0.007192810334060994>
<future, -0.007192810334060994>
<interracial romance, -0.007192810334060994>
<love, -0.007192810334060994>
<magic, -0.007192810334060994>
<melancholic, -0.007192810334060994>
<oscar (best actress), -0.007192810334060994>
<pg, -0.007192810334060994>
<president, -0.007192810334060994>
<romantic, -0.007192810334060994>
<sad, -0.007192810334060994>
<san francisco, -0.007192810334060994>
<slow, -0.007192810334060994>
<sports, -0.007192810334060994>
<surrealism, -0.007192810334060994>
<sweet, -0.007192810334060994>
<thought-provoking, -0.007192810334060994>
<touching, -0.007192810334060994>
<war, -0.007192810334060994>
<weird, -0.007192810334060994>
<nudity (topless - notable), -0.014129817337832334>
<fantasy, -0.0207368296635702>
<guilty pleasure, -0.0207368296635702>
<hip hop, -0.0207368296635702>
<imdb top 250, -0.0207368296635702>
<india, -0.0207368296635702>
<nudity (full frontal), -0.0207368296635702>
<relationships, -0.0207368296635702>
<sci-fi, -0.0207368296635702>
<sexuality, -0.0207368296635702>
<surreal, -0.0207368296635702>
<nudity (full frontal - notable), -0.038443131031231675>
<sex, -0.038443131031231675>
<wedding, -0.038443131031231675>
<drama, -0.05921711176313408>
<girlie movie, -0.05921711176313408>
<overrated, -0.05921711176313408>
<based on a book, -0.0824334758561503>
<funny, -0.0824334758561503>
<lesbian, -0.0824334758561503>
<chick flick, -0.1076901868166815>
<good romantic comedies, -0.1076901868166815>
<quirky, -0.1076901868166815>
<romance, -0.5118219703761893>
