java -cp ./bin:./lib/postgresql-42.1.4.jar cli/differentiate_genre Horror Romance pdiff2

<gothic, 0.5144629357120953>
<lyrical, -7.962818239277339E-5>
<marriage, -7.962818239277339E-5>
<memory, -7.962818239277339E-5>
<memory loss, -7.962818239277339E-5>
<mental illness, -7.962818239277339E-5>
<movie business, -7.962818239277339E-5>
<music, -7.962818239277339E-5>
<musicians, -7.962818239277339E-5>
<narrated, -7.962818239277339E-5>
<new york, -7.962818239277339E-5>
<new york city, -7.962818239277339E-5>
<nonlinear, -7.962818239277339E-5>
<notable nudity, -7.962818239277339E-5>
<notable soundtrack, -7.962818239277339E-5>
<nudity (full frontal - brief), -7.962818239277339E-5>
<obsession, -7.962818239277339E-5>
<oscar (best animated feature), -7.962818239277339E-5>
<oscar (best music - original score), -7.962818239277339E-5>
<oscar (best supporting actress), -7.962818239277339E-5>
<oscar (best writing - screenplay written directly for the screen), -7.962818239277339E-5>
<oscar winner, -7.962818239277339E-5>
<passionate, -7.962818239277339E-5>
<period piece, -7.962818239277339E-5>
<pg-13, -7.962818239277339E-5>
<philosophy, -7.962818239277339E-5>
<psychological, -7.962818239277339E-5>
<queer, -7.962818239277339E-5>
<race, -7.962818239277339E-5>
<racism, -7.962818239277339E-5>
<realistic, -7.962818239277339E-5>
<reality tv, -7.962818239277339E-5>
<reflective, -7.962818239277339E-5>
<religion, -7.962818239277339E-5>
<romantic comedy, -7.962818239277339E-5>
<sad but good, -7.962818239277339E-5>
<satire, -7.962818239277339E-5>
<scenic, -7.962818239277339E-5>
<school, -7.962818239277339E-5>
<sentimental, -7.962818239277339E-5>
<shallow, -7.962818239277339E-5>
<soccer, -7.962818239277339E-5>
<sophia coppola, -7.962818239277339E-5>
<special, -7.962818239277339E-5>
<spoof, -7.962818239277339E-5>
<strange, -7.962818239277339E-5>
<teens, -7.962818239277339E-5>
<terminal illness, -7.962818239277339E-5>
<time travel, -7.962818239277339E-5>
<tokyo, -7.962818239277339E-5>
<tragedy, -7.962818239277339E-5>
<trains, -7.962818239277339E-5>
<true story, -7.962818239277339E-5>
<unique, -7.962818239277339E-5>
<very funny, -7.962818239277339E-5>
<very interesting, -7.962818239277339E-5>
<visually appealing, -7.962818239277339E-5>
<wine, -7.962818239277339E-5>
<wistful, -7.962818239277339E-5>
<directorial debut, -9.61446078806099E-5>
<gay, -9.61446078806099E-5>
<boring, -1.981196791386753E-4>
<adapted from:book, -0.0064183390885489576>
<adolescence, -0.0064183390885489576>
<amnesia, -0.0064183390885489576>
<biography, -0.0064183390885489576>
<bittersweet, -0.0064183390885489576>
<black comedy, -0.0064183390885489576>
<bollywood, -0.0064183390885489576>
<canada, -0.0064183390885489576>
<cute, -0.0064183390885489576>
<england, -0.0064183390885489576>
<fairy tales, -0.0064183390885489576>
<funniest movies, -0.0064183390885489576>
<future, -0.0064183390885489576>
<interracial romance, -0.0064183390885489576>
<love, -0.0064183390885489576>
<magic, -0.0064183390885489576>
<melancholic, -0.0064183390885489576>
<oscar (best actress), -0.0064183390885489576>
<pg, -0.0064183390885489576>
<president, -0.0064183390885489576>
<romantic, -0.0064183390885489576>
<sad, -0.0064183390885489576>
<san francisco, -0.0064183390885489576>
<slow, -0.0064183390885489576>
<sports, -0.0064183390885489576>
<surrealism, -0.0064183390885489576>
<sweet, -0.0064183390885489576>
<thought-provoking, -0.0064183390885489576>
<touching, -0.0064183390885489576>
<war, -0.0064183390885489576>
<weird, -0.0064183390885489576>
<nudity (topless - notable), -0.012534272778532222>
<british, -0.019301771636677668>
<fantasy, -0.019301771636677668>
<guilty pleasure, -0.019301771636677668>
<hip hop, -0.019301771636677668>
<imdb top 250, -0.019301771636677668>
<india, -0.019301771636677668>
<nudity (full frontal), -0.019301771636677668>
<relationships, -0.019301771636677668>
<sci-fi, -0.019301771636677668>
<sexuality, -0.019301771636677668>
<surreal, -0.019301771636677668>
<nudity (full frontal - notable), -0.03634616460794059>
<sex, -0.03634616460794059>
<wedding, -0.03634616460794059>
<drama, -0.05645079601632597>
<girlie movie, -0.05645079601632597>
<overrated, -0.05645079601632597>
<based on a book, -0.07898814411814563>
<funny, -0.07898814411814563>
<lesbian, -0.07898814411814563>
<chick flick, -0.10355533571506101>
<good romantic comedies, -0.10355533571506101>
<quirky, -0.10355533571506101>
<romance, -0.49859309214302283>
